glyph_name,USV,base,above,below,center
pehVabove-ar,08BE,behDotless-ar,_smallV,_dot3d,
pehVabove-ar.fina,,behDotless-ar.fina,_smallV,_dot3d,
pehVabove-ar.medi,,behDotless-ar.medi,_smallV,_dot3d,
pehVabove-ar.init,,behDotless-ar.init,_smallV,_dot3d,
tehVabove-ar,08BF,behDotless-ar,_dot2h_smallV,,
tehVabove-ar.fina,,behDotless-ar.fina,_dot2h_smallV,,
tehVabove-ar.medi,,behDotless-ar.medi,_dot2h_smallV,,
tehVabove-ar.init,,behDotless-ar.init,_dot2h_smallV,,
ttehVabove-ar,08C0,behDotless-ar,_tah_smallV,,
ttehVabove-ar.fina,,behDotless-ar.fina,_tah_smallV,,
ttehVabove-ar.medi,,behDotless-ar.medi,_tah_smallV,,
ttehVabove-ar.init,,behDotless-ar.init,_tah_smallV,,
tchehVabove-ar,08C1,hah-ar,_smallV,,_dot3d
tchehVabove-ar.fina,,hah-ar.fina,_smallV,,_dot3d
tchehVabove-ar.medi,,hah-ar.medi,_smallV,_dot3d,
tchehVabove-ar.init,,hah-ar.init,_smallV,_dot3d,
jeemThreedotsabove-ar,08C5,hah-ar,_dot3u,,_dot1
jeemThreedotsabove-ar.fina,,hah-ar.fina,_dot3u,,_dot1
jeemThreedotsabove-ar.medi,,hah-ar.medi,_dot3u,_dot1,
jeemThreedotsabove-ar.init,,hah-ar.init,_dot3u,_dot1,
jeemThreedotsbelow-ar,08C6,hah-ar,,,_dot1_dot3d
jeemThreedotsbelow-ar.fina,,hah-ar.fina,,,_dot1_dot3d
jeemThreedotsbelow-ar.medi,,hah-ar.medi,,_dot1_dot3d,
jeemThreedotsbelow-ar.init,,hah-ar.init,,_dot1_dot3d,
ghainThreedotsabove-ar,08C3,ain-ar,_dot1_dot3u,,
ghainThreedotsabove-ar.fina,,ain-ar.fina,_dot1_dot3u,,
ghainThreedotsabove-ar.medi,,ain-ar.medi,_dot1_dot3u,,
ghainThreedotsabove-ar.init,,ain-ar.init,_dot1_dot3u,,
qafThreedotsaboveAfrican-ar,08C4,qafDotless-ar,_dot3u,,
qafThreedotsaboveAfrican-ar.fina,,qafDotless-ar.fina,_dot3u,,
qafThreedotsaboveAfrican-ar.medi,,fehDotless-ar.medi,_dot1_dot3u,,
qafThreedotsaboveAfrican-ar.init,,fehDotless-ar.init,_dot1_dot3u,,
kehehVabove-ar,08C2,keheh-ar,_smallV,,
kehehVabove-ar.fina,,keheh-ar.fina,_smallV,,
kehehVabove-ar.medi,,kaf-ar.medi,_smallV,,
kehehVabove-ar.init,,kaf-ar.init,_smallV,,
lamTahabove-ar,08C7,lam-ar,_tah,,
lamTahabove-ar.fina,,lam-ar.fina,_tah,,
lamTahabove-ar.medi,,lam-ar.medi,_tah,,
lamTahabove-ar.init,,lam-ar.init,_tah,,
lamTahabove-ar.medi.preAlef,,lam-ar.medi.preAlef,_tah,,
lamTahabove-ar.init.preAlef,,lam-ar.init.preAlef,_tah,,
