Name,GlyphsName,ps_name,AGL,Order,USV,Dir,shapeOrder,DesignerOrder,Fonts,base,Glyphsbase,above,below,center,ring,through,aboveLeft,MirrorGlyph,UnicodeVer,old name / commet,bcp47tags,OTLang,Feat,,GlyphsAppName,Sort,
.notdef,.notdef,.notdef,.notdef,0,,,0,0,*,,,,,,,,,,,,,,,,.notdef,2,
.null,.null,,,1,,,1,1,*,,,,,,,,,,,,,,,,.null,3,
nonmarkingreturn,nonmarkingreturn,,controlCR,2,,,2,2,*,,,,,,,,,,,,,,,,CR,4,not found
CR,CR,,controlCR,2,,,2,2,-,,,,,,,,,,,,,,,,CR,4,
space,space,space,,3,0020,,3,3,*,,,,,,,,,,,,,,,,space,5,
tab,,,controlHT,4,,,4,4,*,,,,,,,,,,,,,,,,,6,not found
exclam,exclam,exclam,,5,0021,,5,5,*,,,,,,,,,,,,,,,,exclam,7,
exclam.arab,exclam.arab,exclam.arab,,6,,,6,6,L,,,,,,,,,,,,,,,,,7.01,
quotedbl,quotedbl,quotedbl,,7,0022,,7,7,*,,,,,,,,,,,,,,,,quotedbl,8,
numbersign,numbersign,numbersign,,8,0023,,8,8,*,,,,,,,,,,,,,,,,numbersign,9,
dollar,dollar,dollar,,9,0024,,9,9,*,,,,,,,,,,,,,,,,dollar,10,
percent,percent,percent,,10,0025,,10,10,*,,,,,,,,,,,,,,,,percent,11,
ampersand,ampersand,ampersand,,11,0026,,11,11,*,,,,,,,,,,,,,,,,ampersand,12,
quotesingle,quotesingle,quotesingle,,12,0027,,12,12,*,,,,,,,,,,,,,,,,quotesingle,13,
parenleft,parenleft,parenleft,,13,0028,,13,13,*,,,,,,,,,parenright,,,,,,,parenleft,14,
parenleft.arab,parenleft.arab,parenleft.arab,,15,,,15,14,L,,,,,,,,,parenright.arab,,,,,,,,14.01,
parenright,parenright,parenright,,14,0029,,14,15,*,,,,,,,,,parenleft,,,,,,,parenright,15,
parenright.arab,parenright.arab,parenright.arab,,16,,,16,16,L,,,,,,,,,parenleft.arab,,,,,,,,15.01,
asterisk,asterisk,asterisk,,17,002A,,17,17,*,,,,,,,,,,,,,,,,asterisk,16,
asterisk.arab,asterisk.arab,asterisk.arab,,18,,,18,18,L,,,,,,,,,,,,,,,,,16.01,
plus,plus,plus,,19,002B,,19,19,*,,,,,,,,,,,,,,,,plus,17,
comma,comma,comma,,20,002C,,20,20,*,,,,,,,,,,,,,,,,comma,18,
hyphen,hyphentwo,uni2010,hyphentwo,253,2010,,253,21,*,,,,,,,,,,,,,,,,hyphen,19,
hyphenminus,hyphen,hyphen,,21,002D,,21,22,*,,,,,,,,,,,,,,,,hyphen,19,
period,period,period,,22,002E,,22,23,*,,,,,,,,,,,,,,,,period,20,
period.test,period.test,period.test,,23,,,23,24,*,,,,,,,,,,,,,,,,,20.02,
slash,slash,slash,,24,002F,,24,25,*,,,,,,,,,,,,,,,,slash,21,
zero,zero,zero,,25,0030,,25,26,*,,,,,,,,,,,,,,,,zero,22,
zeroMedium,zero.medium,zero.medium,,1299,,EN,1321,27,*,,,,,,,,,,,,,,,,,22.004,
zeroSmall,zero.small,zero.small,,1333,,EN,1354,28,*,,,,,,,,,,,,,,,,,22.005,
one,one,one,,26,0031,,26,29,*,,,,,,,,,,,,,,,,one,23,
oneMedium,one.medium,one.medium,,1300,,EN,1322,30,*,,,,,,,,,,,,,,,,,23.004,
oneSmall,one.small,one.small,,1334,,EN,1355,31,*,,,,,,,,,,,,,,,,,23.005,
two,two,two,,27,0032,,27,32,*,,,,,,,,,,,,,,,,two,24,
twoMedium,two.medium,two.medium,,1301,,EN,1323,33,*,,,,,,,,,,,,,,,,,24.004,
twoSmall,two.small,two.small,,1335,,EN,1356,34,*,,,,,,,,,,,,,,,,,24.005,
three,three,three,,28,0033,,28,35,*,,,,,,,,,,,,,,,,three,25,
threeMedium,three.medium,three.medium,,1302,,EN,1324,36,*,,,,,,,,,,,,,,,,,25.004,
threeSmall,three.small,three.small,,1336,,EN,1357,37,*,,,,,,,,,,,,,,,,,25.005,
four,four,four,,29,0034,,29,38,*,,,,,,,,,,,,,,,,four,26,
fourMedium,four.medium,four.medium,,1303,,EN,1325,39,*,,,,,,,,,,,,,,,,,26.004,
fourSmall,four.small,four.small,,1337,,EN,1358,40,*,,,,,,,,,,,,,,,,,26.005,
five,five,five,,30,0035,,30,41,*,,,,,,,,,,,,,,,,five,27,
fiveMedium,five.medium,five.medium,,1304,,EN,1326,42,*,,,,,,,,,,,,,,,,,27.004,
fiveSmall,five.small,five.small,,1338,,EN,1359,43,*,,,,,,,,,,,,,,,,,27.005,
six,six,six,,31,0036,,31,44,*,,,,,,,,,,,,,,,,six,28,
sixMedium,six.medium,six.medium,,1305,,EN,1327,45,*,,,,,,,,,,,,,,,,,28.004,
sixSmall,six.small,six.small,,1339,,EN,1360,46,*,,,,,,,,,,,,,,,,,28.005,
seven,seven,seven,,32,0037,,32,47,*,,,,,,,,,,,,,,,,seven,29,
sevenMedium,seven.medium,seven.medium,,1306,,EN,1328,48,*,,,,,,,,,,,,,,,,,29.004,
sevenSmall,seven.small,seven.small,,1340,,EN,1361,49,*,,,,,,,,,,,,,,,,,29.005,
eight,eight,eight,,33,0038,,33,50,*,,,,,,,,,,,,,,,,eight,30,
eightMedium,eight.medium,eight.medium,,1307,,EN,1329,51,*,,,,,,,,,,,,,,,,,30.004,
eightSmall,eight.small,eight.small,,1341,,EN,1362,52,*,,,,,,,,,,,,,,,,,30.005,
nine,nine,nine,,34,0039,,34,53,*,,,,,,,,,,,,,,,,nine,31,
nineMedium,nine.medium,nine.medium,,1308,,EN,1330,54,*,,,,,,,,,,,,,,,,,31.004,
nineSmall,nine.small,nine.small,,1342,,EN,1363,55,*,,,,,,,,,,,,,,,,,31.005,
colon,colon,colon,,35,003A,,35,56,*,,,,,,,,,,,,,,,,colon,32,
colon.arab,colon.arab,colon.arab,,36,,,36,57,L,,,,,,,,,,,,,,,,,32.01,
semicolon,semicolon,semicolon,,37,003B,,37,58,*,,,,,,,,,,,,,,,,semicolon,33,
less,less,less,,38,003C,,38,59,*,,,,,,,,,,,,,,,,less,34,
equal,equal,equal,,39,003D,,39,60,*,,,,,,,,,,,,,,,,equal,35,
greater,greater,greater,,40,003E,,40,61,*,,,,,,,,,,,,,,,,greater,36,
question,question,question,,41,003F,,41,62,*,,,,,,,,,,,,,,,,question,37,
at,at,at,,42,0040,,42,63,*,,,,,,,,,,,,,,,,at,38,
A,A,A,,43,0041,,43,64,*,,,,,,,,,,,,,,,,A,39,
B,B,B,,44,0042,,44,65,*,,,,,,,,,,,,,,,,B,40,
C,C,C,,45,0043,,45,66,*,,,,,,,,,,,,,,,,C,41,
D,D,D,,46,0044,,46,67,*,,,,,,,,,,,,,,,,D,42,
E,E,E,,47,0045,,47,68,*,,,,,,,,,,,,,,,,E,43,
F,F,F,,48,0046,,48,69,*,,,,,,,,,,,,,,,,F,44,
G,G,G,,49,0047,,49,70,*,,,,,,,,,,,,,,,,G,45,
H,H,H,,50,0048,,50,71,*,,,,,,,,,,,,,,,,H,46,
I,I,I,,51,0049,,51,72,*,,,,,,,,,,,,,,,,I,47,
J,J,J,,52,004A,,52,73,*,,,,,,,,,,,,,,,,J,48,
K,K,K,,53,004B,,53,74,*,,,,,,,,,,,,,,,,K,49,
L,L,L,,54,004C,,54,75,*,,,,,,,,,,,,,,,,L,50,
M,M,M,,55,004D,,55,76,*,,,,,,,,,,,,,,,,M,51,
N,N,N,,56,004E,,56,77,*,,,,,,,,,,,,,,,,N,52,
O,O,O,,57,004F,,57,78,*,,,,,,,,,,,,,,,,O,53,
P,P,P,,58,0050,,58,79,*,,,,,,,,,,,,,,,,P,54,
Q,Q,Q,,59,0051,,59,80,*,,,,,,,,,,,,,,,,Q,55,
R,R,R,,60,0052,,60,81,*,,,,,,,,,,,,,,,,R,56,
S,S,S,,61,0053,,61,82,*,,,,,,,,,,,,,,,,S,57,
T,T,T,,62,0054,,62,83,*,,,,,,,,,,,,,,,,T,58,
U,U,U,,63,0055,,63,84,*,,,,,,,,,,,,,,,,U,59,
V,V,V,,64,0056,,64,85,*,,,,,,,,,,,,,,,,V,60,
W,W,W,,65,0057,,65,86,*,,,,,,,,,,,,,,,,W,61,
X,X,X,,66,0058,,66,87,*,,,,,,,,,,,,,,,,X,62,
Y,Y,Y,,67,0059,,67,88,*,,,,,,,,,,,,,,,,Y,63,
Z,Z,Z,,68,005A,,68,89,*,,,,,,,,,,,,,,,,Z,64,
bracketleft,bracketleft,bracketleft,,69,005B,,69,90,*,,,,,,,,,bracketright,,,,,,,bracketleft,65,
bracketright,bracketright,bracketright,,71,005D,,71,91,*,,,,,,,,,bracketleft,,,,,,,bracketright,66,
backslash,backslash,backslash,,70,005C,,70,92,*,,,,,,,,,,,,,,,,backslash,67,
underscore,underscore,underscore,,73,005F,,73,93,*,,,,,,,,,,,,,,,,underscore,68,
a,a,a,,75,0061,,75,94,*,,,,,,,,,,,,,,,,a,69,
b,b,b,,76,0062,,76,95,*,,,,,,,,,,,,,,,,b,70,
c,c,c,,77,0063,,77,96,*,,,,,,,,,,,,,,,,c,71,
d,d,d,,78,0064,,78,97,*,,,,,,,,,,,,,,,,d,72,
e,e,e,,79,0065,,79,98,*,,,,,,,,,,,,,,,,e,73,
f,f,f,,80,0066,,80,99,*,,,,,,,,,,,,,,,,f,74,
g,g,g,,81,0067,,81,100,*,,,,,,,,,,,,,,,,g,75,
h,h,h,,82,0068,,82,101,*,,,,,,,,,,,,,,,,h,76,
i,i,i,,83,0069,,83,102,*,,,,,,,,,,,,,,,,i,77,
j,j,j,,84,006A,,84,103,*,,,,,,,,,,,,,,,,j,78,
k,k,k,,85,006B,,85,104,*,,,,,,,,,,,,,,,,k,79,
l,l,l,,86,006C,,86,105,*,,,,,,,,,,,,,,,,l,80,
m,m,m,,87,006D,,87,106,*,,,,,,,,,,,,,,,,m,81,
n,n,n,,88,006E,,88,107,*,,,,,,,,,,,,,,,,n,82,
o,o,o,,89,006F,,89,108,*,,,,,,,,,,,,,,,,o,83,
p,p,p,,90,0070,,90,109,*,,,,,,,,,,,,,,,,p,84,
q,q,q,,91,0071,,91,110,*,,,,,,,,,,,,,,,,q,85,
r,r,r,,92,0072,,92,111,*,,,,,,,,,,,,,,,,r,86,
s,s,s,,93,0073,,93,112,*,,,,,,,,,,,,,,,,s,87,
t,t,t,,94,0074,,94,113,*,,,,,,,,,,,,,,,,t,88,
u,u,u,,95,0075,,95,114,*,,,,,,,,,,,,,,,,u,89,
v,v,v,,96,0076,,96,115,*,,,,,,,,,,,,,,,,v,90,
w,w,w,,97,0077,,97,116,*,,,,,,,,,,,,,,,,w,91,
x,x,x,,98,0078,,98,117,*,,,,,,,,,,,,,,,,x,92,
y,y,y,,99,0079,,99,118,*,,,,,,,,,,,,,,,,y,93,
z,z,z,,100,007A,,100,119,*,,,,,,,,,,,,,,,,z,94,
